date,kota_administrasi,kecamatan,kelurahan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_luka_ringan,ketinggian_min,ketinggian_max
16/03/2020,Jakarta Timur,CIPAYUNG,CILANGKAP,4,5,0,0,0,10,40
1/3/2020,Jakarta Timur,CAKUNG,CAKUNG TIMUR,6,13,114,207,39,10,60
1/3/2020,Jakarta Timur,CIRACAS,CIBUBUR,1,2,40,100,16,20,100
2/3/2020,Jakarta Timur,CIRACAS,CIRACAS,1,1,0,0,0,30,40
8/2/2020,Jakarta Timur,KRAMAT JATI,CILILITAN,5,10,0,0,220,10,100
23/02/2020,Jakarta Timur,KRAMAT JATI,DUKUH,4,10,0,0,0,5,30
25/02/2020,Jakarta Timur,KRAMAT JATI,TENGAH,6,7,0,0,0,10,30
3/2/2020,Jakarta Timur,MAKASAR,CIPINANG MELAYU,10,18,3762,13450,2424,15,100
23/02/2020,Jakarta Timur,MAKASAR,HALIM PERDANA KUSUMA,4,9,0,0,133,20,50
8/2/2020,Jakarta Timur,MAKASAR,KEBON PALA,10,12,0,0,1256,50,120
23/02/2020,Jakarta Timur,MAKASAR,MAKASAR,4,17,178,745,553,30,150
23/02/2020,Jakarta Timur,MAKASAR,PINANG RANTI,2,6,0,0,0,20,100
8/2/2020,Jakarta Timur,MATRAMAN,KEBON MANGGIS,2,15,323,1157,400,20,60
23/02/2020,Jakarta Timur,MATRAMAN,PISANGAN BARU,7,7,0,0,0,10,60
23/02/2020,Jakarta Timur,MATRAMAN,UTAN KAYU SELATAN,2,5,0,0,0,10,60
23/02/2020,Jakarta Timur,MATRAMAN,UTAN KAYU UTARA,2,2,0,0,0,10,60
23/02/2020,Jakarta Timur,MATRAMAN,PAL MERIAM,2,4,0,0,0,10,60
16/02/2020,Jakarta Timur,PASAR REBO,PEKAYON,1,1,0,0,0,10,25
23/02/2020,Jakarta Timur,PULOGADUNG,CIPINANG,1,1,0,0,0,40,40
8/2/2020,Jakarta Timur,PULOGADUNG,JATI,2,2,0,0,0,10,60
8/2/2020,Jakarta Timur,PULOGADUNG,KAYU PUTIH,9,35,2761,8103,975,10,100
8/2/2020,Jakarta Timur,PULOGADUNG,PISANGAN TIMUR,4,4,0,0,0,50,100
8/2/2020,Jakarta Timur,PULOGADUNG,PULOGADUNG,8,8,0,0,0,10,100
23/02/2020,Jakarta Timur,PULOGADUNG,RAWAMANGUN,2,2,0,0,0,30,30
23/02/2020,Jakarta Timur,PULOGADUNG,JATINEGARA KAUM,1,2,0,0,0,40,40
1/3/2020,Jakarta Timur,PASAR REBO,PEKAYON,1,1,0,0,0,20,100
16/03/2020,Jakarta Timur,PASAR REBO,KALISARI,1,1,0,0,0,70,70
1/3/2020,Jakarta Timur,MAKASAR,CIPINANG MELAYU,2,11,364,1598,96,10,100
16/03/2020,Jakarta Timur,MAKASAR,PINANG RANTI,1,2,0,0,0,10,15
16/03/2020,Jakarta Timur,MAKASAR,MAKASAR,2,5,200,850,15,10,20
2/3/2020,Jakarta Timur,DUREN SAWIT,PONDOK BAMBU,1,2,0,0,0,20,30
15/04/2020,Jakarta Utara,PENJARINGAN,PLUIT,1,3,0,0,0,,
6/4/2020,Jakarta Barat,KEBON JERUK,SUKABUMI SELATAN,6,14,0,0,0,,
27/04/2020,Jakarta Barat,KEBON JERUK,KEDOYA SELATAN,2,8,0,0,0,,
6/4/2020,Jakarta Barat,CENGKARENG,CENGKARENG BARAT,1,1,0,0,0,15,15
6/4/2020,Jakarta Barat,CENGKARENG,RAWA BUAYA,3,6,0,0,0,20,20
6/4/2020,Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,4,5,20,65,65,,
6/4/2020,Jakarta Barat,KEMBANGAN,SRENGSENG,2,4,0,0,0,,
6/4/2020,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,2,2,0,0,0,50,50
5/4/2020,Jakarta Selatan,JAGAKARSA,CIPEDAK,2,2,0,0,0,50,50
10/4/2020,Jakarta Selatan,JAGAKARSA,JAGAKARSA,1,1,0,0,0,40,40
5/4/2020,Jakarta Selatan,PASAR MINGGU,CILANDAK TIMUR,2,3,0,0,0,,
13/04/2020,Jakarta Selatan,PASAR MINGGU,RAGUNAN,1,1,0,0,0,30,30
18/04/2020,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,2,2,0,0,0,,
27/04/2020,Jakarta Selatan,PASAR MINGGU,JATI PADANG,4,8,0,0,0,,
30/04/2020,Jakarta Selatan,PASAR MINGGU,PEJATEN BARAT,3,12,0,0,0,,
6/4/2020,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,2,4,0,0,0,,
30/04/2020,Jakarta Selatan,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,2,2,0,0,0,30,30
6/4/2020,Jakarta Selatan,TEBET,KEBON BARU,4,6,0,0,0,,
29/04/2020,Jakarta Selatan,TEBET,TEBET BARAT,1,1,0,0,0,40,40
6/4/2020,Jakarta Selatan,MAMPANG PRAPATAN,KUNINGAN BARAT,2,2,0,0,0,,
29/04/2020,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,4,6,0,0,0,,
29/04/2020,Jakarta Selatan,MAMPANG PRAPATAN,PELA MAMPANG,2,2,0,0,0,,
26/04/2020,Jakarta Selatan,CILANDAK,LEBAK BULUS,2,2,3,10,10,,
27/04/2020,Jakarta Selatan,CILANDAK,CIPETE SELATAN,1,1,0,0,0,50,50
27/04/2020,Jakarta Selatan,CILANDAK,GANDARIA SELATAN,1,2,0,0,0,,
